127.0.0.1, 2018-04-03 15:39:41, GET, /, HTTP/1.1, 303, 0.002780
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.223383
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000626
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000615
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001963
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001915
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001922
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002129
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002216
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003656
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001854
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003165
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000505
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000628
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001408
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000749
127.0.0.1, 2018-04-03 15:39:41, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000687
127.0.0.1, 2018-04-10 15:42:07, GET, /, HTTP/1.1, 303, 0.002751
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.131608
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001203
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000875
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002627
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001925
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002509
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001842
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002741
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000544
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002725
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.003141
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000479
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000397
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000611
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001901
127.0.0.1, 2018-04-10 15:42:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001554
127.0.0.1, 2018-04-10 15:42:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.022456
127.0.0.1, 2018-04-10 15:42:15, GET, /admin/default/site, HTTP/1.1, 303, 0.128609
127.0.0.1, 2018-04-10 15:42:15, GET, /admin/default/index, HTTP/1.1, 200, 0.032134
127.0.0.1, 2018-04-10 15:42:15, GET, /admin/static/_2.16.1/js/calendar.js, HTTP/1.1, 200, 0.002337
